profile_url,name,country,gender,open_2025_rank_worldwide,backsquat,chad1000x,cleanandjerk,deadlift,fightgonebad,filthy50,fran,grace,helen,l1benchmark,maxpullups,murph,run5k,snatch,sprint400m
https://games.crossfit.com/athlete/737294,Sangmin Park,"Korea, Republic of",Men,1064,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2112739,Mark Taylor,United States,Men,2289,440,,340,545,,,2:31,,,,60,,19:59,275,
https://games.crossfit.com/athlete/788174,Henry Oivo,Finland,Men,2683,175,55:30,135,190,,,2:30,,,,,,,106,
https://games.crossfit.com/athlete/2327240,Chae Woon Lee,"Korea, Republic of",Men,4579,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1297568,Vincent Desgagnes,Canada,Men,2140,315,,,375,,,,,,,,,,,
https://games.crossfit.com/athlete/657680,Lars Kristensen,Australia,Men (35-39),510,200,,152,250,,,2:03,,,,80,28:55,18:52,124,0:52
https://games.crossfit.com/athlete/1998842,Edward Jane,United Kingdom,Men,2452,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/654299,Caleb Farrell,United States,Men,993,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1760568,Neal Stevenson,South Africa,Men,2745,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/327313,Steven Rodriguez,United States,Men,2803,440,,355,540,330,,2:01,2:00,,,,,,250,
https://games.crossfit.com/athlete/1770090,Dylan Vety,France,Men,4984,160,,120,205,,,2:41,,,,,,23:47,101,
https://games.crossfit.com/athlete/450402,Juan Jose Sanchez Garcia,Mexico,Men (35-39),2527,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1483911,Jackson Mcgregor,Australia,Men,4161,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1791275,Felipe Trindade,Brazil,Men,4257,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2322598,Noa Fivel,France,Men,1581,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/352281,Vinicius Zola,Brazil,Men (35-39),2386,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2253707,Corey Arnouts,United States,Men,2450,445,,315,545,,,,,,,,48:40,21:40,255,
https://games.crossfit.com/athlete/533212,Tony Lauters,United States,Men,253,475,,325,505,314,17:24,2:00,1:40,8:10,,42,,,260,
https://games.crossfit.com/athlete/405196,Leon Uptegrove,United States,Men (35-39),4242,445,,320,505,409,19:45,2:15,1:47,7:32,,55,,19:45,260,1:00
https://games.crossfit.com/athlete/874857,Ethan Wasil,United States,Men,2511,275,,230,385,,,,,,,,,,150,
https://games.crossfit.com/athlete/716143,Roma Abramov,N/A,Men (45-49),4627,142,,100,175,413,,3:44,3:19,7:55,,47,,26:02,71,1:02
https://games.crossfit.com/athlete/2811310,Romain Larzul,France,Men,4824,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1525426,Justin Johnson,United States,Men,476,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1179333,David Pollard,United Kingdom,Men,2613,,,,,,,,,,,,,,,
