profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,snatch,fran,maxpull-ups,run5k,fightgonebad,filthy50,grace,helen,sprint400m,murph,chad1000x,l1benchmark,runrowrunrx,run400m,runrowrunsprint,runrowrunscaled
https://games.crossfit.com/athlete/1125583,Trent Yeglic,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/781813,William Chinchar,United States,Men,370,300,405,245,,,17:46,,,1:43,,,,,,,,,
https://games.crossfit.com/athlete/1241532,Adam Dycus,United States,Men,405,315,505,260,2:03,61,21:15,,,,,,,,,,,,
https://games.crossfit.com/athlete/1431461,Shane Moran,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1573982,Mitch Padgett,United States,Men (45-49),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/462602,Fabrice Marinelli,Belgium,Men (40-44),190,130,220,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1563150,Maximilien Tolve,France,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2187738,Alexis Capdevielle,France,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/105536,Chase Smith,United States,Men (35-39),515,350,556,290,2:06,60,,476,,1:12,,0:56,,,,,,,
https://games.crossfit.com/athlete/2594334,Junho Lee,"Korea, Republic of",Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/926982,Vincent Richard,Canada,Men,425,325,475,260,2:04,,24:00,,,,,,,,,,,,
https://games.crossfit.com/athlete/1109057,Hyeunsic Yu,"Korea, Republic of",Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1286014,Jacque Gericke,South Africa,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/947616,James Keen,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/801833,Gab Bldc,Canada,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1576349,Sebastien Faure,France,Men (45-49),,,,,,,,,,,,,,,,,,,
