profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,grace,snatch,fran,maxpull-ups,fightgonebad,filthy50,helen,run5k,chad1000x,sprint400m,l1benchmark,murph,run400m
https://games.crossfit.com/athlete/877784,Joshua Hong,"Korea, Republic of",Men,425,325,485,,245,2:03,27,,,,,,,,,
https://games.crossfit.com/athlete/1672723,Tyler Brandenburg,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1216578,Max Hollingworth,Canada,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2719856,Cole McDonald,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/912297,Nicolás Canil,Uruguay,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2588206,Samuel Barrière,Canada,Men,405,315,505,,195,,,,,,,45:00,,,,
https://games.crossfit.com/athlete/1525426,Justin Johnson,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1996260,Alexander Majors,United States,Men,,350,,,285,,,,,,,,,,,
https://games.crossfit.com/athlete/712556,Hyunsu Kim,"Korea, Republic of",Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/408198,David Mata,Spain,Men,170,120,200,,90,,,,,,,,,,,
https://games.crossfit.com/athlete/1688860,Allan Pereira,Brazil,Men (35-39),180,145,220,,115,,,,,,,,,,,
https://games.crossfit.com/athlete/1276946,Jackson Miller,United States,Men,425,335,528,1:24,290,,,415,16:49,7:14,,,0:58,,,
https://games.crossfit.com/athlete/1188746,William Griffin,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/209828,Kyle Cant,Canada,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/491119,Dennis Ibardolaza,Australia,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1551845,Otaño Agustín,Argentina,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1977273,Djoufack Ngoma Chris Sylvain,Cameroon,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2065495,Dillon Bailey,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/96390,Robert Wakeham,United Kingdom,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1199465,Samuel Paquin,Canada,Men,455,350,500,,275,2:17,60,,,8:55,19:53,,1:00,,,
https://games.crossfit.com/athlete/983680,George Rhigas,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/737294,Sangmin Park,"Korea, Republic of",Men,,,,,,,,,,,,,,,,
